iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gbm__min_samples_leaf,param_gbm__max_leaf_nodes,param_gbm__learning_rate,param_gbm__l2_regularization,param_gbm__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,45,25.36475625038147,0.7998446552255937,0.7082829952239991,0.03312761635936178,20,255,0.1,0.0,45,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 255, 'gbm__learning_rate': 0.1, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 45}",-2.901809762997187,-2.0003359360028803,-1.5641062982369498,-1.6361325037330268,-1.8278762691905313,-1.9860521540321148,0.4825593646875755,30,-1.2751546037487698,-1.225024384345577,-1.2116137982117083,-1.1817747438698218,-1.1947009999828564,-1.2176537060317467,0.032284012341490885
0,45,20.525912380218507,0.1294009535746131,0.6537184238433837,0.0030050155829470285,20,127,0.05,0.0,45,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 45}",-2.2695148047053926,-1.7338725732776148,-1.5438269366407482,-1.579193305813076,-1.6688286850229384,-1.759047261091954,0.2638247534798609,6,-1.3763402102521276,-1.3281227247185137,-1.314622297357688,-1.2874909207029883,-1.2969333045666116,-1.320701891519586,0.031162692599470892
0,45,28.560239171981813,0.9409421428909718,0.6691258430480957,0.010702880902897649,20,255,0.03,0.0,45,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 255, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 45}",-2.4231641050625834,-1.6832102010707553,-1.5689957380128252,-1.586322055135871,-1.6798871038160847,-1.788315840619624,0.3208548276331646,11,-1.407890116185889,-1.366551224910105,-1.3510350750506395,-1.3203830014074147,-1.3287532469769345,-1.3549225329061967,0.031092489276333173
0,45,14.119388008117676,0.10980786263526626,0.6436032295227051,0.006295766119831906,20,63,0.15,0.1,45,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 63, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 0.1, 'gbm__max_iter': 45}",-2.5718863045282956,-1.9574818827109781,-1.537379357447347,-1.6201825090821802,-1.845758632019945,-1.9065377371577494,0.36530955302213486,23,-1.3266741328839855,-1.2788662756927307,-1.2619679661120289,-1.2375148725517928,-1.2448537376831794,-1.2699753969847434,0.03175750852469219
0,45,13.009531736373901,0.0776888568315121,0.6648627758026123,0.03890269383702377,20,31,0.03,0.0,45,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 31, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 45}",-2.27980023303524,-1.6667489489552123,-1.638986303231041,-1.6509254363987853,-1.6649370069471687,-1.7802795857134897,0.2499641096955885,10,-1.514998946187986,-1.488068387372617,-1.4745788953530483,-1.4420132824840646,-1.452510549196176,-1.4744340121187782,0.025935199988892134
0,45,27.8314151763916,0.2392842487106209,0.6683707714080811,0.01505221367767214,50,255,0.03,0.0,45,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 255, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 45}",-2.430240183243696,-1.6868828795287563,-1.5715556984770351,-1.584626757945999,-1.6811341462274916,-1.7908879330845955,0.3231979412637505,13,-1.4080931762721296,-1.3665595571928075,-1.3512284911531758,-1.3208689533693245,-1.329287457982745,-1.3552075271940365,0.030959912246490667
0,45,13.06675763130188,0.5463491849059076,0.6724688053131104,0.008032256922709324,20,31,0.05,0.1,45,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 31, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.1, 'gbm__max_iter': 45}",-2.245082784511518,-1.7281657568658644,-1.5639205792600586,-1.6072677126195751,-1.6421403080280308,-1.7573154282570094,0.24977905840003878,4,-1.449959001415423,-1.4091351317902512,-1.398831297655542,-1.3680140980900084,-1.3800933228853962,-1.4012065703673242,0.02825884985241126
0,45,23.162740182876586,1.5843463321475701,0.6915386199951172,0.017503374311345028,50,255,0.2,0.0,45,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 255, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 45}",-2.9480861910153005,-2.3037053568297208,-1.6451836625696543,-1.708389257915158,-2.0189715479303283,-2.1248672032520326,0.4742228705911761,33,-1.2368461554531174,-1.1872109121879002,-1.1753250141641156,-1.1449211639338603,-1.156899369365568,-1.1802405230209125,0.03184089432096067
0,45,14.187101602554321,0.14336410564287994,0.6558817863464356,0.02355646641359617,50,63,0.15,1.0,45,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 63, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0, 'gbm__max_iter': 45}",-2.563473137926547,-1.9994179819234132,-1.5273425590477612,-1.6078394187653042,-1.7380223252526366,-1.8872190845831327,0.37409408483064444,22,-1.325059081190804,-1.275861551568685,-1.2604974588710196,-1.2319068629212053,-1.2445194518720963,-1.267568881284762,0.03233249829703925
0,45,24.308959913253783,0.7011456281564867,0.7146694660186768,0.006029920681027562,10,255,0.15,10.0,45,"{'gbm__min_samples_leaf': 10, 'gbm__max_leaf_nodes': 255, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 10.0, 'gbm__max_iter': 45}",-3.1440634307109243,-2.2171462106733077,-1.5803842217751858,-1.65814425121656,-1.9121798702305388,-2.102383596921303,0.5664409475331624,31,-1.251912369552953,-1.1999927736898257,-1.18804465235477,-1.1596902545083638,-1.1720852393323753,-1.1943450578876575,0.03188116088037499
0,45,16.247975730895995,0.15817184329209139,0.6622661590576172,0.027250610836322395,10,63,0.03,1.0,45,"{'gbm__min_samples_leaf': 10, 'gbm__max_leaf_nodes': 63, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 1.0, 'gbm__max_iter': 45}",-2.2352832783602055,-1.6801017628481494,-1.6031839812563329,-1.6211291094238018,-1.6666990331584701,-1.761279433009392,0.23868439272071187,8,-1.4775211586720662,-1.4417991013451905,-1.4293043967009385,-1.399260925312043,-1.4079605359251262,-1.431169223591073,0.02764690379912112
0,45,25.32056474685669,0.647365090341619,0.7023882389068603,0.012358271046803135,5,255,0.1,0.0,45,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 255, 'gbm__learning_rate': 0.1, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 45}",,-2.035697928218749,-1.5868106922039968,-1.7165960166620824,-1.9533475130978215,,,35,,-1.2236648776394485,-1.22077440327933,-1.1825449880113397,-1.1958585639563386,,
0,45,16.240917682647705,0.32261787369697414,0.6571417331695557,0.02422249404972905,100,63,0.03,0.1,45,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 63, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 0.1, 'gbm__max_iter': 45}",-2.223283481914088,-1.6810102136674836,-1.6025636067844025,-1.6208215073490335,-1.6669453059151926,-1.75892482312604,0.23395779010295628,5,-1.4764412183362488,-1.4423031691313786,-1.429468097671676,-1.3991221597358419,-1.4085450854485642,-1.4311759460647417,0.02725904541017414
0,45,23.91241273880005,0.34556485516842095,0.74202561378479,0.01609325762289503,100,255,0.15,1.0,45,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 255, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0, 'gbm__max_iter': 45}",-3.180816681167254,-2.231119983666265,-1.6166632895715498,-1.6441661368993852,-1.935580971208356,-2.1216694125025617,0.574707201040812,32,-1.2515637092218197,-1.2010667910776778,-1.1896116733318294,-1.158448147040307,-1.1705545262983088,-1.1942489693939886,0.032236910905435553
0,45,16.292611598968506,0.17256991659110887,0.6611862182617188,0.04049742376073724,10,63,0.03,0.1,45,"{'gbm__min_samples_leaf': 10, 'gbm__max_leaf_nodes': 63, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 0.1, 'gbm__max_iter': 45}",-2.2304179186043878,-1.68062153562775,-1.60262746094937,-1.6212359744306484,-1.6649233965336234,-1.759965257229156,0.23691985314913422,7,-1.476679531728621,-1.441828387055187,-1.429287658770921,-1.3988242485085796,-1.4087122534180168,-1.431066415896265,0.027345223619607874
0,45,15.180436611175537,0.2050322144999168,0.6628429889678955,0.022051876356661927,10,63,0.1,10.0,45,"{'gbm__min_samples_leaf': 10, 'gbm__max_leaf_nodes': 63, 'gbm__learning_rate': 0.1, 'gbm__l2_regularization': 10.0, 'gbm__max_iter': 45}",-2.401374981967856,-1.8268587076635099,-1.5282952281347746,-1.590606389156882,-1.6810423989769108,-1.8056355411799863,0.31433566156249537,17,-1.3504610280756717,-1.300517839211595,-1.2867243264435406,-1.2592246686121542,-1.2711408258287726,-1.2936137376343468,0.031668232880599945
0,45,20.53921675682068,0.1748467583846221,0.6633001327514648,0.013643705691596716,20,127,0.05,0.1,45,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.1, 'gbm__max_iter': 45}",-2.335044755024968,-1.7244820783049395,-1.5379610667212513,-1.575851754873359,-1.6699977285455747,-1.7686674766940187,0.2908176886724043,9,-1.3761383943072614,-1.3295249417536321,-1.3151828545597892,-1.2865842328972046,-1.295804408670434,-1.3206469664376643,0.0315131592322893
0,45,14.29689793586731,0.13837451151913413,0.6520978450775147,0.024368098791092176,100,63,0.15,1.0,45,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 63, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0, 'gbm__max_iter': 45}",-2.523490414353651,-1.9487928925578075,-1.523531560959421,-1.6159345572014991,-1.7532767063721113,-1.8730052262888983,0.3553665263908382,21,-1.325903756195517,-1.276242741174421,-1.2627297040734236,-1.2333760671606973,-1.2464433321106376,-1.2689391201429392,0.03196141644330079
0,45,23.279645872116088,0.32176702505029714,0.7088985443115234,0.016583778276327035,5,255,0.15,0.1,45,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 255, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 0.1, 'gbm__max_iter': 45}",-3.229003728518591,-2.3533969012084297,-1.6765646871036954,-1.7664863323946391,-2.102117960877575,-2.225513922020586,0.5568884990537002,34,-1.246078062995657,-1.1933518122285982,-1.1858160560344955,-1.1539919134349856,-1.1677914932863673,-1.1894058675960208,0.03150087072962547
0,45,21.11222400665283,0.41439270933288547,0.6604219436645508,0.009593732762592679,10,127,0.03,10.0,45,"{'gbm__min_samples_leaf': 10, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 10.0, 'gbm__max_iter': 45}",-2.2522196563823873,-1.6674083070852899,-1.5808091293899735,-1.59878113833392,-1.6690330969786011,-1.7536502656340347,0.2518045603263,2,-1.442843698041213,-1.4037436774299978,-1.3892647744787385,-1.3595399252430043,-1.367511822976169,-1.3925807796338248,0.02960445166188002
0,45,12.943783855438232,1.7889026022921286,0.5669225692749024,0.044157327526959805,5,127,0.2,0.0,45,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 45}",,-2.0251111818639407,,-39.18584661711348,,,,35,,-1.2782795415065882,,-71.55341784451034,,,
0,45,17.081019496917726,2.9025523380216356,0.6621513366699219,0.08052740733978127,20,127,0.15,0.0,45,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 45}",-3.0088654549129785,,-1.5441124492058806,-1.618618721002959,-1.8302910413050537,,,35,-1.2894157852085024,,-1.222855989461388,-1.1985119931843904,-1.2087141452851438,,
0,45,21.140274477005004,0.26125035304146105,0.6629625797271729,0.00989443219016604,100,127,0.03,10.0,45,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 10.0, 'gbm__max_iter': 45}",-2.2453166290761906,-1.6691278278100048,-1.5806050609840576,-1.5982359865975473,-1.6678577817600553,-1.7522286572455712,0.2491298223232823,1,-1.4432170427965152,-1.404021131851963,-1.3893987875265486,-1.3597209680491185,-1.3672796149797777,-1.3927275090407847,0.029748433176778697
0,45,18.455504655838013,0.34873014153192233,0.691288948059082,0.018463507901708805,100,127,0.15,10.0,45,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 10.0, 'gbm__max_iter': 45}",-2.7477908314081465,-2.0108588920345345,-1.560995933934696,-1.6106962797627533,-1.835077773885559,-1.9530839422051378,0.42890203029554974,28,-1.2894930017759074,-1.237945408387174,-1.2261805535527472,-1.1966660828861524,-1.208761709217758,-1.2318093511639479,0.03213403557987094
0,45,21.23779501914978,0.23344402245135454,0.6508759498596192,0.025220142484756958,5,127,0.03,10.0,45,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 10.0, 'gbm__max_iter': 45}",-2.252227686576987,-1.6674083070852899,-1.5808091293899735,-1.59878113833392,-1.6690330969786011,-1.7536518716729543,0.25180774026056135,3,-1.442840775458559,-1.4037436774299978,-1.3892647744787385,-1.3595399252430043,-1.367511822976169,-1.392580195117294,0.029603459266677613
1,135,47.564945220947266,1.726222093947359,1.240480089187622,0.05116218849265276,20,127,0.05,0.1,135,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.1, 'gbm__max_iter': 135}",-2.769216439655206,-2.0263861988286633,-1.5245234030695367,-1.5997798398233143,-1.8262464085727654,-1.9492304579898974,0.446306377260995,26,-1.284222914022135,-1.232107452733043,-1.219652947741589,-1.1903136348795904,-1.2025387249294432,-1.2257671348611603,0.03253051097374699
1,135,38.64639811515808,0.348075943939157,1.1746249675750733,0.049291973423583754,10,63,0.03,1.0,135,"{'gbm__min_samples_leaf': 10, 'gbm__max_leaf_nodes': 63, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 1.0, 'gbm__max_iter': 135}",-2.372546811400267,-1.8178584069090293,-1.524044595933827,-1.5806659594063501,-1.679668007107014,-1.7949567561512971,0.3055291139349614,15,-1.357948187882656,-1.308707355479776,-1.2949704200439784,-1.267324701208651,-1.2795301881948518,-1.3016961705619825,0.03140512877360714
1,135,38.33982772827149,0.38178458079444505,1.1412962436676026,0.03620597816416625,10,63,0.03,0.1,135,"{'gbm__min_samples_leaf': 10, 'gbm__max_leaf_nodes': 63, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 0.1, 'gbm__max_iter': 135}",-2.349881603625621,-1.8260162230294694,-1.521944601464769,-1.5808761932354454,-1.6759714769093534,-1.7909380196529316,0.2977747962179383,14,-1.3577956543958223,-1.3086925165895522,-1.2942544740731572,-1.2669781836851242,-1.2785315579560836,-1.3012504773399478,0.031598811586877044
1,135,47.50256481170654,0.5850373063936984,1.2335041522979737,0.015485222508427326,20,127,0.05,0.0,135,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 127, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.0, 'gbm__max_iter': 135}",-2.7792250006774655,-2.0569434539109444,-1.539497375033318,-1.6038826713940109,-1.8279457899946223,-1.9614988582020723,0.4475704918399128,29,-1.2847072091911929,-1.2320302355158972,-1.2193532865991787,-1.1921122308122727,-1.203288533237949,-1.226298299071298,0.03222057001902065
